dt_issue_date,violation_description,tickets_issued
2025-06-29,MISCELLANEOUS,11
2024-09-23,DIVIDED HIGHWAY,1
2024-02-21,SELLING/OFFERING MCHNDSE-METER,4
2023-12-09,EXPIRED MUNI METER,707
2024-05-03,NIGHTTIME STD/ PKG IN A PARK,6
2025-03-20,NO STD(EXC TRKS/GMTDST NO-TRK),4
2025-06-29,COMML PLATES-UNALTERED VEHICLE,1
2024-10-19,WASH/REPAIR VEHCL-REPAIR ONLY,2
2025-02-17,MISCELLANEOUS,4
2023-07-31,NO STAND TAXI/FHV RELIEF STAND,19
2023-12-09,MISUSE PARKING PERMIT,8
2023-11-03,SELLING/OFFERING MCHNDSE-METER,1
2023-10-22,NO STANDING-FOR HIRE VEH STND,1
2024-06-28,UNAUTHORIZED BUS LAYOVER,1
2025-01-07,VIN OBSCURED,51
2023-11-30,VEHICLE FOR SALE(DEALERS ONLY),1
2024-02-28,COMML PLATES-UNALTERED VEHICLE,91
2024-09-20,EXPIRED MUNI MTR-COMM MTR ZN,142
2023-10-06,SIDEWALK,155
2024-05-13,VIN OBSCURED,155
2025-06-23,EXPIRED MUNI METER,712
2026-04-16,OBSTRUCTING DRIVEWAY,1
2024-11-26,NIGHTTIME STD/ PKG IN A PARK,3
2023-11-28,WRONG WAY,31
2025-06-25,ANGLE PARKING,10
2023-09-03,NO STANDING-BUS STOP,448
2029-08-19,NIGHTTIME STD/ PKG IN A PARK,1
2024-09-14,BUS PARKING IN LOWER MANHATTAN,2
2025-07-16,REG. STICKER-EXPIRED/MISSING,1133
2024-09-07,NO STANDING-COMMUTER VAN STOP,1
2025-10-09,DOUBLE PARKING,1
2024-04-05,NO STANDING-COMM METER ZONE,967
2023-10-03,FRAUDULENT USE PARKING PERMIT,9
2025-03-28,VIN OBSCURED,131
2023-08-01,SAFETY ZONE,133
2024-12-25,NO PARKING-STREET CLEANING,7
2023-05-26,NO PARKING-DAY/TIME LIMITS,5
2024-03-24,MISCELLANEOUS,16
2024-07-31,NO STANDING-DAY/TIME LIMITS,3009
2025-07-02,PHTO SCHOOL ZN SPEED VIOLATION,12865
2024-01-03,NGHT PKG ON RESID STR-COMM VEH,132
2025-06-14,FAILURE TO STOP AT RED LIGHT,1632
2025-05-30,UNAUTHORIZED PASSENGER PICK-UP,4
2025-01-20,MISSING EQUIPMENT,5
2024-10-18,NO PARKING-DAY/TIME LIMITS,2356
2024-07-05,FAIL TO DISP. MUNI METER RECPT,588
2024-05-24,MISUSE PARKING PERMIT,26
2024-02-11,NON-COMPLIANCE W/ POSTED SIGN,22
2023-10-23,NO STD(EXC TRKS/GMTDST NO-TRK),3
2025-03-31,REG STICKER-MUTILATED/C'FEIT,13
2025-06-04,WRONG WAY,36
2024-12-07,PARKED BUS-EXC. DESIG. AREA,6
2024-12-06,PEDESTRIAN RAMP,15
2024-07-31,INTERSECTION,3
2025-05-02,PARKED BUS-EXC. DESIG. AREA,15
2025-01-25,EXCAVATION-VEHICLE OBSTR TRAFF,3
2024-01-29,NO STANDING-TAXI STAND,63
2024-06-25,NIGHTTIME STD/ PKG IN A PARK,7
2023-11-24,NO PARKING-STREET CLEANING,17452
2024-07-26,NO STANDING-TAXI STAND,47
2023-11-12,PARKED BUS-EXC. DESIG. AREA,5
2023-10-23,WRONG WAY,37
2024-02-13,FIRE HYDRANT,1013
2024-02-27,BIKE LANE,254
2025-01-14,NO STANDING-BUS LANE,110
2024-07-20,BUS PARKING IN LOWER MANHATTAN,3
2024-10-22,NIGHTTIME STD/ PKG IN A PARK,4
2025-05-30,PLTFRM LFTS LWRD POS COMM VEH,384
2024-03-15,FAILURE TO STOP AT RED LIGHT,1812
2024-08-13,FIRE HYDRANT,2330
2024-10-24,ANGLE PARKING,20
2024-08-24,DETACHED TRAILER,64
2025-01-06,NO PARKING-EXC. DSBLTY PERMIT,6
2025-03-08,DETACHED TRAILER,60
2024-02-22,DOUBLE PARKING,1329
2025-02-19,SIDEWALK,167
2023-07-31,OVERTIME PKG-TIME LIMIT POSTED,3
2023-06-10,INSP. STICKER-EXPIRED/MISSING,10
2023-12-27,PEDESTRIAN RAMP,20
2024-01-01,NO PARKING-STREET CLEANING,7
2025-06-11,UNAUTHORIZED BUS LAYOVER,1
2023-11-18,CROSSWALK,243
2024-10-31,PLTFRM LFTS LWRD POS COMM VEH,228
2024-10-29,NO STAND TAXI/FHV RELIEF STAND,34
2025-07-03,NO STANDING-OFF-STREET LOT,1881
2024-11-19,SELLING/OFFERING MCHNDSE-METER,2
2023-10-24,BEYOND MARKED SPACE,16
2024-01-17,VEHICLE FOR SALE(DEALERS ONLY),1
2025-06-30,FAIL TO DISP. MUNI METER RECPT,1180
2024-05-23,FAIL TO DSPLY MUNI METER RECPT,4247
2024-11-27,NO STANDING-EXC. TRUCK LOADING,801
2025-01-19,NO MATCH-PLATE/STICKER,13
2024-01-21,COMML PLATES-UNALTERED VEHICLE,12
2025-01-31,NO STANDING EXCP D/S,13
2024-07-17,FRONT OR BACK PLATE MISSING,788
2022-07-05,SIDEWALK,1
2024-10-12,BIKE LANE,97
2024-05-02,MISUSE PARKING PERMIT,30
2025-07-15,ANGLE PARKING-COMM VEHICLE,1
2025-06-07,NO STANDING-TAXI STAND,22
2024-06-04,NO PARKING-EXC. DSBLTY PERMIT,1
2024-08-26,BLUE ZONE,13
2024-10-27,OBSTRUCTING DRIVEWAY,97
2023-12-03,SAFETY ZONE,73
2024-04-29,NO PARKING-STREET CLEANING,39
2025-03-29,NO STANDING-TAXI STAND,38
2025-08-21,FRONT OR BACK PLATE MISSING,1
2023-01-15,SIDEWALK,2
2024-05-16,MISCELLANEOUS,7
2023-07-24,SAFETY ZONE,110
2024-10-27,FRAUDULENT USE PARKING PERMIT,5
2023-07-18,NO STANDING-TAXI STAND,43
2024-12-23,IMPROPER REGISTRATION,17
2023-04-25,NO PARKING-STREET CLEANING,1
2023-12-28,NO STANDING-FOR HIRE VEH STND,1
2024-03-19,NO STANDING-BUS LANE,136
2023-11-19,IMPROPER REGISTRATION,28
2024-09-18,OVERNIGHT TRACTOR TRAILER PKG,46
2023-11-10,REG STICKER-MUTILATED/C'FEIT,6
2023-11-09,VIN OBSCURED,13
2023-09-28,NO STAND TAXI/FHV RELIEF STAND,40
2024-11-12,NO STANDING-BUS STOP,891
2025-04-09,NO STANDING-OFF-STREET LOT,1705
2024-05-17,COMML PLATES-UNALTERED VEHICLE,73
2024-09-16,FRAUDULENT USE PARKING PERMIT,42
2025-05-08,DOUBLE PARKING,1083
2024-03-07,WRONG WAY,37
2025-01-31,FAIL TO DISP. MUNI METER RECPT,878
2024-06-29,NO STANDING-FOR HIRE VEH STND,2
2024-06-17,REG. STICKER-EXPIRED/MISSING,1245
2024-03-27,FAIL TO DISP. MUNI METER RECPT,1213
2025-07-06,FRAUDULENT USE PARKING PERMIT,5
2023-09-19,BIKE LANE,105
2025-04-07,OVERNIGHT TRACTOR TRAILER PKG,6
2021-08-28,FIRE HYDRANT,1
2024-03-05,DIVIDED HIGHWAY,9
2025-01-10,NO PARKING-STREET CLEANING,7511
2024-09-15,PEDESTRIAN RAMP,34
2025-07-19,NO STANDING-HOTEL LOADING,19
2024-12-03,IMPROPER REGISTRATION,18
2023-10-15,NON-COMPLIANCE W/ POSTED SIGN,19
2024-08-26,NO STAND TAXI/FHV RELIEF STAND,26
2024-10-02,COMML PLATES-UNALTERED VEHICLE,97
2024-08-09,REG STICKER-MUTILATED/C'FEIT,12
2024-03-26,EXPIRED MUNI METER,1171
2025-04-23,FAIL TO DSPLY MUNI METER RECPT,5376
2022-03-09,NO STANDING-DAY/TIME LIMITS,1
2023-12-02,UNAUTHORIZED BUS LAYOVER,1
2023-10-08,FRAUDULENT USE PARKING PERMIT,1
2024-03-18,DOUBLE PARKING-MIDTOWN COMML,273
2023-06-06,NO STANDING-BUS STOP,60
2023-10-27,NO STANDING-FOR HIRE VEH STND,3
2023-11-09,NO STD(EXC TRKS/GMTDST NO-TRK),7
2025-03-27,NO STAND TAXI/FHV RELIEF STAND,37
2025-05-30,NO STANDING-COMMUTER VAN STOP,4
2024-05-15,IDLING,1
2024-09-17,MOBILE BUS LANE VIOLATION,811
2024-07-18,FAIL TO DISP. MUNI METER RECPT,1142
2023-12-27,FAILURE TO STOP AT RED LIGHT,1382
2023-10-11,NO STOPPING-DAY/TIME LIMITS,297
2025-01-14,IMPROPER REGISTRATION,10
2023-11-22,PEDESTRIAN RAMP,19
2024-09-29,NO MATCH-PLATE/STICKER,22
2023-08-16,DETACHED TRAILER,95
2027-06-26,FIRE HYDRANT,1
2025-01-21,NO STANDING-COMMUTER VAN STOP,2
2025-11-23,PEDESTRIAN RAMP,1
2024-12-13,SAFETY ZONE,112
2024-10-30,NO STANDING-BUS STOP,695
2024-04-28,BEYOND MARKED SPACE,5
2023-04-29,NGHT PKG ON RESID STR-COMM VEH,4
2025-10-12,DOUBLE PARKING,1
2023-09-05,MISCELLANEOUS,9
2023-09-19,NO MATCH-PLATE/STICKER,23
2024-02-05,MISSING EQUIPMENT,28
2023-10-13,DOUBLE PARKING,898
2024-08-31,SELLING/OFFERING MCHNDSE-METER,1
2023-11-10,VEHICLE FOR SALE(DEALERS ONLY),1
2025-03-08,NO PARKING-DAY/TIME LIMITS,1065
2024-05-06,NO PARKING-EXC. AUTH. VEHICLE,2
2025-03-13,INSP STICKER-MUTILATED/C'FEIT,13
2025-01-03,NGHT PKG ON RESID STR-COMM VEH,193
2024-01-04,NO STAND TAXI/FHV RELIEF STAND,10
2024-09-23,NO STANDING-TAXI STAND,25
2025-07-01,INSP STICKER-MUTILATED/C'FEIT,16
2024-07-16,NO STANDING-DAY/TIME LIMITS,2661
2024-02-05,FAIL TO DSPLY MUNI METER RECPT,4257
2024-11-28,MISUSE PARKING PERMIT,2
2023-07-01,NO PARKING-DAY/TIME LIMITS,701
2024-08-03,BLUE ZONE,1
2025-03-12,PEDESTRIAN RAMP,25
2024-02-16,PLTFRM LFTS LWRD POS COMM VEH,313
2025-05-13,NO STANDING-HOTEL LOADING,19
2023-10-11,ANGLE PARKING,12
2023-09-27,PHTO SCHOOL ZN SPEED VIOLATION,14981
2024-11-18,TRAFFIC LANE,18
2023-11-09,CROSSWALK,319
2024-02-09,SIDEWALK,226
2023-12-21,OVERNIGHT TRACTOR TRAILER PKG,14
2023-12-09,FRONT OR BACK PLATE MISSING,510
2025-02-05,DOUBLE PARKING,1279
2024-04-23,FAIL TO DSPLY MUNI METER RECPT,5683
2025-03-10,SAFETY ZONE,110
2025-02-27,PEDESTRIAN RAMP,34
2023-08-17,FAIL TO DISP. MUNI METER RECPT,1053
2023-08-25,MISUSE PARKING PERMIT,15
2023-01-13,DOUBLE PARKING,1
2024-08-09,NON-COMPLIANCE W/ POSTED SIGN,50
2024-02-02,REG. STICKER-EXPIRED/MISSING,999
2024-09-13,FAIL TO DSPLY MUNI METER RECPT,4477
2000-02-02,SAFETY ZONE,1
2025-07-11,FRONT OR BACK PLATE MISSING,611
2025-01-04,DOUBLE PARKING-MIDTOWN COMML,44
2023-07-10,NO STOPPING-DAY/TIME LIMITS,174
2024-06-08,REG STICKER-MUTILATED/C'FEIT,11
2024-06-01,OVERTIME STDG D/S,2
2025-01-13,FIRE HYDRANT,1558
2024-12-16,UNAUTHORIZED BUS LAYOVER,1
2025-03-19,SAFETY ZONE,116
2023-04-20,NO PARKING-DAY/TIME LIMITS,1
2024-05-30,FAILURE TO STOP AT RED LIGHT,2161
2029-08-19,FIRE HYDRANT,1
2024-09-11,NGHT PKG ON RESID STR-COMM VEH,164
2025-05-20,SAFETY ZONE,149
2023-12-08,FAIL TO DISP. MUNI METER RECPT,611
2025-03-08,PLTFRM LFTS LWRD POS COMM VEH,211
2024-05-06,OBSTRUCTING DRIVEWAY,162
2025-04-18,NO MATCH-PLATE/STICKER,56
2024-09-12,FAIL TO DISP. MUNI METER RECPT,1101
2024-04-05,DOUBLE PARKING-MIDTOWN COMML,274
2025-02-12,EXPIRED MUNI METER,979
2024-09-20,NO STANDING-HOTEL LOADING,24
2024-03-16,IMPROPER REGISTRATION,13
2024-09-20,NO STANDING-DAY/TIME LIMITS,3036
2025-07-04,PLTFRM LFTS LWRD POS COMM VEH,91
2024-02-12,STORAGE-3HR COMMERCIAL,30
2024-09-06,SIDEWALK,113
2024-03-20,PEDESTRIAN RAMP,20
2024-04-08,IDLING,1
2025-04-24,PCKP DSCHRGE IN PRHBTD ZONE,5
2025-03-16,VIN OBSCURED,31
2024-03-12,TRAFFIC LANE,3
2024-04-24,NON-COMPLIANCE W/ POSTED SIGN,50
2025-04-23,EXPIRED METER-COMM METER ZONE,2087
2023-11-05,WRONG WAY,1
2024-11-06,TRAFFIC LANE,22
2025-03-24,TRAFFIC LANE,8
2024-03-22,UNAUTHORIZED BUS LAYOVER,4
2025-04-18,ANGLE PARKING-COMM VEHICLE,1
2025-06-13,FAIL TO DISP. MUNI METER RECPT,1038
2025-01-31,INSP STICKER-MUTILATED/C'FEIT,6
2025-04-14,TRAFFIC LANE,16
2023-11-30,NO STOP/STANDNG EXCEPT PAS P/U,5
2024-05-24,WRONG WAY,18
2024-08-13,NO STANDING-FOR HIRE VEH STND,8
2023-06-03,FRONT OR BACK PLATE MISSING,11
2025-03-19,BUS LANE VIOLATION,3238
2025-01-01,OVERNIGHT TRACTOR TRAILER PKG,21
2025-01-30,INTERSECTION,4
2025-07-15,SAFETY ZONE,121
2024-03-31,VIN OBSCURED,79
2024-04-29,NO STANDING-DAY/TIME LIMITS,2782
2025-03-17,TRAFFIC LANE,15
2024-07-11,MISSING EQUIPMENT,11
2024-05-31,INSP. STICKER-EXPIRED/MISSING,1222
2024-06-22,BUS LANE VIOLATION,1291
2024-05-08,OBSTRUCTING TRAFFIC/INTERSECT,41
2025-02-09,WRONG WAY,15
2025-05-22,DIVIDED HIGHWAY,11
2023-08-01,ANGLE PARKING-COMM VEHICLE,1
2023-10-29,REG STICKER-MUTILATED/C'FEIT,7
2024-03-17,NO STAND TAXI/FHV RELIEF STAND,21
2021-11-03,NO PARKING-STREET CLEANING,1
2025-01-01,OBSTRUCTING DRIVEWAY,128
2024-09-22,CROSSWALK,77
2024-01-15,PEDESTRIAN RAMP,21
2025-07-01,BUS LANE VIOLATION,2721
2024-02-24,UNAUTHORIZED BUS LAYOVER,1
2025-01-02,COMML PLATES-UNALTERED VEHICLE,34
2024-04-29,NO STANDING-COMMUTER VAN STOP,2
2023-10-10,PLTFRM LFTS LWRD POS COMM VEH,299
2023-08-16,NO STANDING-BUS LANE,91
2024-11-24,NGHT PKG ON RESID STR-COMM VEH,47
2023-07-24,TRAFFIC LANE,5
2024-05-08,MISCELLANEOUS,6
2025-01-06,PARKED BUS-EXC. DESIG. AREA,6
2025-04-26,EXPIRED MUNI MTR-COMM MTR ZN,13
2023-10-30,NO PARKING-TAXI STAND,1
2024-04-11,OVERTIME PKG-TIME LIMIT POSTED,8
2025-01-26,VIN OBSCURED,22
2025-04-27,OVERTIME PKG-TIME LIMIT POSTED,4
2023-12-21,ANGLE PARKING,18
2023-09-29,PHTO SCHOOL ZN SPEED VIOLATION,9274
2024-04-30,VIN OBSCURED,181
2025-01-05,NO STANDING-OFF-STREET LOT,1733
2024-10-28,SIDEWALK,116
2024-12-19,DETACHED TRAILER,100
2024-03-27,MISUSE PARKING PERMIT,25
2023-11-14,INSP STICKER-MUTILATED/C'FEIT,21
2025-10-30,OBSTRUCTING DRIVEWAY,1
2024-10-13,PCKP DSCHRGE IN PRHBTD ZONE,1
2025-04-17,INTERSECTION,4
2025-05-07,INTERSECTION,3
2024-07-25,NO STANDING-EXC. AUTH. VEHICLE,378
2025-04-28,REG. STICKER-EXPIRED/MISSING,1061
2023-12-26,MOBILE BUS LANE VIOLATION,808
2023-05-28,NIGHTTIME STD/ PKG IN A PARK,27
2025-01-02,SELLING/OFFERING MCHNDSE-METER,3
2025-04-11,NO STANDING-BUS LANE,138
2024-04-01,NO STAND TAXI/FHV RELIEF STAND,14
2024-05-11,STORAGE-3HR COMMERCIAL,128
2025-03-16,NO STANDING-HOTEL LOADING,8
2024-06-24,MISUSE PARKING PERMIT,25
2024-08-03,MOBILE BUS LANE VIOLATION,205
2024-12-20,FAIL TO DSPLY MUNI METER RECPT,1957
2024-08-23,BLUE ZONE,6
2024-01-19,PHTO SCHOOL ZN SPEED VIOLATION,9755
2025-10-04,OBSTRUCTING DRIVEWAY,2
2025-11-04,OTHER,1
2024-08-18,NO STANDING-BUS STOP,352
2024-08-03,NO PARKING-EXC. AUTH. VEHICLE,3
2023-06-30,DETACHED TRAILER,85
2025-03-07,NO STANDING-HOTEL LOADING,14
2024-12-06,INTERSECTION,6
2024-03-05,FAILURE TO STOP AT RED LIGHT,1171
2025-07-28,PEDESTRIAN RAMP,24
2024-03-24,DETACHED TRAILER,24
2023-09-14,FRAUDULENT USE PARKING PERMIT,13
2025-06-02,VEHICLE FOR SALE(DEALERS ONLY),1
2023-10-01,INSP STICKER-MUTILATED/C'FEIT,8
2023-03-14,DOUBLE PARKING,2
2023-09-17,NO STANDING EXCP D/S,9
2024-02-28,EXCAVATION-VEHICLE OBSTR TRAFF,1
2024-07-28,REG STICKER-MUTILATED/C'FEIT,7
2025-02-18,EXCAVATION-VEHICLE OBSTR TRAFF,3
2025-03-12,EXPIRED MUNI MTR-COMM MTR ZN,160
2023-11-11,BUS PARKING IN LOWER MANHATTAN,2
2024-02-21,REG STICKER-MUTILATED/C'FEIT,14
2024-05-24,FAIL TO DISP. MUNI METER RECPT,911
2023-12-09,NO MATCH-PLATE/STICKER,28
2024-04-12,PARKED BUS-EXC. DESIG. AREA,13
2024-11-16,FAIL TO DSPLY MUNI METER RECPT,4574
2023-09-19,EXPIRED MUNI MTR-COMM MTR ZN,40
2024-04-11,FAIL TO DISP. MUNI METER RECPT,924
2024-02-04,DETACHED TRAILER,24
2023-08-09,FIRE HYDRANT,2138
2023-08-31,DIVIDED HIGHWAY,5
2024-08-27,RAILROAD CROSSING,1
2024-01-25,MISUSE PARKING PERMIT,36
2023-06-13,BUS LANE VIOLATION,46
2025-01-24,ANGLE PARKING,18
2025-07-27,NO PARKING-DAY/TIME LIMITS,506
2023-12-01,IMPROPER REGISTRATION,16
2023-08-26,REG. STICKER-EXPIRED/MISSING,937
2024-09-18,NO STANDING-BUS LANE,128
2025-01-20,FAIL TO DSPLY MUNI METER RECPT,3918
2025-02-28,NO STOPPING-DAY/TIME LIMITS,233
2024-09-09,NO STANDING-TAXI STAND,51
2024-06-12,COMML PLATES-UNALTERED VEHICLE,102
2024-06-30,BEYOND MARKED SPACE,4
2025-05-09,INSP. STICKER-EXPIRED/MISSING,1184
2023-09-04,NO STAND TAXI/FHV RELIEF STAND,19
2025-05-09,FAIL TO DISP. MUNI METER RECPT,806
2025-03-19,NO STANDING-COMM METER ZONE,913
2024-04-26,IMPROPER REGISTRATION,14
2024-08-29,FRAUDULENT USE PARKING PERMIT,70
2025-05-19,EXPIRED METER-COMM METER ZONE,1994
2024-08-08,NO STANDING-BUS STOP,662
2024-02-13,NO STANDING EXCP D/S,8
2024-12-07,PHTO SCHOOL ZN SPEED VIOLATION,15653
2023-05-08,NO STANDING-EXC. AUTH. VEHICLE,1
2024-11-27,VIN OBSCURED,143
2023-10-15,DETACHED TRAILER,22
2024-11-27,MOBILE BUS LANE VIOLATION,891
2023-08-04,NO STANDING-HOTEL LOADING,21
2025-01-03,NO STANDING-TAXI STAND,31
2024-03-05,STORAGE-3HR COMMERCIAL,15
2024-07-30,NGHT PKG ON RESID STR-COMM VEH,125
2025-06-27,PHTO SCHOOL ZN SPEED VIOLATION,13497
2024-06-29,IMPROPER REGISTRATION,12
2024-03-21,MISUSE PARKING PERMIT,28
2023-06-22,OVERNIGHT TRACTOR TRAILER PKG,4
2024-08-29,EXPIRED METER-COMM METER ZONE,1081
2024-05-07,NO PARKING-STREET CLEANING,10903
2024-04-28,DETACHED TRAILER,33
2021-12-16,NO STANDING-EXC. AUTH. VEHICLE,3
2024-11-14,NO STANDING-FOR HIRE VEH STND,13
2025-03-06,OTHER,15
2025-05-01,FIRE HYDRANT,2521
2023-11-10,DOUBLE PARKING-MIDTOWN COMML,156
2024-07-19,OBSTRUCTING TRAFFIC/INTERSECT,1
2024-08-17,NO STANDING-COMM METER ZONE,373
2024-02-16,MISSING EQUIPMENT,13
2024-08-29,MISCELLANEOUS,8
2025-04-15,FAIL TO DISP. MUNI METER RECPT,1137
2024-05-28,INSP STICKER-MUTILATED/C'FEIT,54
2024-01-14,NO STANDING-BUS LANE,4
2025-06-02,OTHER,5
2024-04-04,NO STANDING-BUS LANE,129
2023-05-26,NGHT PKG ON RESID STR-COMM VEH,1
2025-04-09,NO STAND TAXI/FHV RELIEF STAND,34
2024-10-29,EXPIRED MUNI METER,1104
2025-03-31,NO STOP/STANDNG EXCEPT PAS P/U,1
2024-03-13,SIDEWALK,148
2023-04-15,NO PARKING-EXC. AUTH. VEHICLE,1
2024-07-25,NO STAND TAXI/FHV RELIEF STAND,25
2024-02-26,FRAUDULENT USE PARKING PERMIT,11
2025-07-03,FIRE HYDRANT,1732
2025-04-10,NO MATCH-PLATE/STICKER,80
2025-04-15,REG. STICKER-EXPIRED/MISSING,1185
2024-01-27,PLTFRM LFTS LWRD POS COMM VEH,156
2024-05-06,NON-COMPLIANCE W/ POSTED SIGN,140
2026-01-18,NO STANDING-DAY/TIME LIMITS,1
2025-03-10,NO STOPPING-DAY/TIME LIMITS,189
2025-04-25,UNAUTHORIZED BUS LAYOVER,3
2024-05-26,FAILURE TO STOP AT RED LIGHT,2358
2023-08-25,NO STANDING-COMMUTER VAN STOP,3
2025-03-07,NO STANDING-BUS LANE,116
2024-03-22,BLUE ZONE,7
2023-09-14,NO PARKING-STREET CLEANING,10667
2024-04-03,NO STANDING-HOTEL LOADING,15
2023-10-09,VIN OBSCURED,3
2025-05-14,EXPIRED MUNI METER,795
2024-05-11,NO STANDING-DAY/TIME LIMITS,1706
2024-09-29,STORAGE-3HR COMMERCIAL,88
2024-06-04,NO STANDING-EXC. TRUCK LOADING,873
2025-07-19,NO STANDING-BUS STOP,397
2023-09-18,NO STANDING-HOTEL LOADING,6
2023-06-17,MOBILE BUS LANE VIOLATION,193
2025-03-06,EXPIRED MUNI METER,826
2024-12-17,NO STANDING-OFF-STREET LOT,2259
2024-11-10,FIRE HYDRANT,1389
2023-10-24,TRAFFIC LANE,3
2023-11-05,NO STAND TAXI/FHV RELIEF STAND,24
2020-06-15,DOUBLE PARKING,1
2024-08-23,BUS PARKING IN LOWER MANHATTAN,5
2025-05-06,BUS LANE VIOLATION,2874
2023-06-14,NO STANDING-EXC. TRUCK LOADING,4
2023-12-09,FRAUDULENT USE PARKING PERMIT,4
2024-06-04,NO STANDING EXCP D/S,19
2024-03-06,NO MATCH-PLATE/STICKER,63
2024-01-02,CROSSWALK,191
2024-10-28,NO STANDING-COMM METER ZONE,1035
2023-10-06,FAIL TO DISP. MUNI METER RECPT,853
2024-11-18,EXPIRED MUNI METER,987
2023-08-30,MISUSE PARKING PERMIT,43
2024-03-28,NO STANDING-BUS LANE,102
2026-06-27,PEDESTRIAN RAMP,1
2023-07-26,MISSING EQUIPMENT,15
2025-04-25,OVERTIME PKG-TIME LIMIT POSTED,9
2023-11-01,DOUBLE PARKING-MIDTOWN COMML,312
2023-08-07,REG. STICKER-EXPIRED/MISSING,1180
2024-08-08,NO STANDING EXCP D/S,14
2023-11-01,NO STANDING-EXC. AUTH. VEHICLE,513
2024-10-05,BUS PARKING IN LOWER MANHATTAN,8
2024-12-28,IMPROPER REGISTRATION,17
2024-06-15,INSP STICKER-MUTILATED/C'FEIT,52
2025-01-24,DOUBLE PARKING,1050
2024-11-04,CROSSWALK,258
2024-06-25,OBSTRUCTING DRIVEWAY,167
2025-02-07,EXCAVATION-VEHICLE OBSTR TRAFF,1
2023-12-19,NO STANDING EXCP D/S,11
2024-04-14,CROSSWALK,157
2023-10-10,OT PARKING-MISSING/BROKEN METR,1
2024-12-24,BEYOND MARKED SPACE,3
2025-05-23,DOUBLE PARKING-MIDTOWN COMML,223
2024-11-29,NO STANDING-EXC. AUTH. VEHICLE,291
2024-07-02,NO PARKING-EXC. AUTH. VEHICLE,9
2023-09-07,NO STANDING-DAY/TIME LIMITS,2849
2024-09-20,DETACHED TRAILER,99
2023-10-23,MISSING EQUIPMENT,27
2025-06-12,OBSTRUCTING DRIVEWAY,176
2023-10-31,OBSTRUCTING TRAFFIC/INTERSECT,1
2024-11-22,REG. STICKER-EXPIRED/MISSING,836
2024-06-17,NIGHTTIME STD/ PKG IN A PARK,11
2024-11-05,EXPIRED MUNI MTR-COMM MTR ZN,104
2024-02-08,BUS PARKING IN LOWER MANHATTAN,4
2023-09-27,NO PARKING-DAY/TIME LIMITS,2913
2025-01-16,VEHICLE FOR SALE(DEALERS ONLY),1
2025-01-19,NO PARKING-STREET CLEANING,8
2024-12-06,NO STANDING-DAY/TIME LIMITS,2200
2030-11-29,CROSSWALK,1
2024-09-06,NO STANDING-DAY/TIME LIMITS,2508
2024-11-23,REG. STICKER-EXPIRED/MISSING,906
2023-01-25,NO STANDING-DAY/TIME LIMITS,4
2023-11-21,NGHT PKG ON RESID STR-COMM VEH,91
2023-07-18,NO PARKING-EXC. AUTH. VEHICLE,3
2023-01-12,REG. STICKER-EXPIRED/MISSING,2
2023-05-05,NO PARKING-DAY/TIME LIMITS,1
2021-08-16,OBSTRUCTING DRIVEWAY,1
2024-01-23,REG STICKER-MUTILATED/C'FEIT,17
2024-08-07,MISUSE PARKING PERMIT,21
2024-12-07,INSP STICKER-MUTILATED/C'FEIT,13
2025-01-25,BUS PARKING IN LOWER MANHATTAN,4
2025-04-17,CROSSWALK,289
2023-10-06,MISCELLANEOUS,7
2024-12-24,FAILURE TO STOP AT RED LIGHT,1682
2024-02-11,BUS PARKING IN LOWER MANHATTAN,10
2025-03-06,UNAUTHORIZED BUS LAYOVER,1
2028-06-30,STORAGE-3HR COMMERCIAL,1
2024-10-17,IMPROPER REGISTRATION,37
2024-03-05,CROSSWALK,261
2024-01-05,NO STANDING-FOR HIRE VEH STND,7
2025-01-05,REG. STICKER-EXPIRED/MISSING,289
2025-03-29,EXPIRED MUNI METER,491
2024-05-04,MOBILE BUS LANE VIOLATION,368
2022-12-29,OBSTRUCTING DRIVEWAY,1
2024-07-19,VEHICLE FOR SALE(DEALERS ONLY),1
2024-06-21,OVERNIGHT TRACTOR TRAILER PKG,18
2023-07-08,NO STAND TAXI/FHV RELIEF STAND,23
2025-07-01,NO STANDING-BUS STOP,712
2023-09-07,NO MATCH-PLATE/STICKER,47
2024-07-20,EXCAVATION-VEHICLE OBSTR TRAFF,1
2024-09-13,WRONG WAY,30
2024-09-18,COMML PLATES-UNALTERED VEHICLE,78
2023-11-04,PLTFRM LFTS LWRD POS COMM VEH,83
2024-10-01,NO STANDING-COMM METER ZONE,1200
2025-03-26,COMML PLATES-UNALTERED VEHICLE,103
2025-07-08,BUS LANE VIOLATION,2386
2025-05-28,DIVIDED HIGHWAY,12
2023-09-15,IMPROPER REGISTRATION,14
2025-01-12,NO STANDING EXCP D/S,19
2024-06-03,PCKP DSCHRGE IN PRHBTD ZONE,1
2024-07-06,DOUBLE PARKING,762
2023-12-30,COMML PLATES-UNALTERED VEHICLE,16
2022-08-13,DOUBLE PARKING,1
2025-03-02,IMPROPER REGISTRATION,15
2025-02-12,STORAGE-3HR COMMERCIAL,19
2024-09-15,BUS PARKING IN LOWER MANHATTAN,1
2025-01-21,DETACHED TRAILER,106
2023-11-17,FRONT OR BACK PLATE MISSING,670
2024-08-16,OTHER,17
2024-09-17,VEHICLE FOR SALE(DEALERS ONLY),2
